iter	Passed	Remaining
0	1	1470
1	2	1019
2	7	2500
3	8	2060
4	8	1756
5	9	1563
6	10	1435
7	10	1357
8	15	1690
9	16	1595
10	16	1522
11	17	1465
12	18	1409
13	19	1351
14	19	1311
15	20	1274
16	21	1246
17	22	1223
18	23	1202
19	24	1179
20	24	1152
21	25	1133
22	26	1120
23	27	1119
24	28	1120
25	29	1121
26	31	1120
27	31	1104
28	32	1089
29	33	1090
30	35	1102
31	36	1113
32	37	1095
33	38	1083
34	38	1067
35	39	1052
36	39	1039
37	40	1026
38	41	1016
39	41	1007
40	42	998
41	44	1017
42	45	1010
43	46	1001
44	47	1000
45	48	995
46	48	991
47	49	984
48	50	975
49	50	967
50	51	957
51	52	951
52	52	943
53	53	934
54	53	927
55	54	918
56	55	910
57	55	904
58	56	899
59	57	897
60	58	893
61	60	914
62	61	909
63	61	902
64	62	900
65	63	898
66	64	898
67	65	892
68	65	888
69	66	883
70	67	877
71	67	872
72	68	867
73	68	862
74	69	857
75	70	852
76	70	848
77	71	844
78	72	841
79	72	837
80	73	836
81	74	832
82	74	825
83	75	824
84	76	823
85	77	823
86	78	821
87	78	818
88	79	814
89	80	809
90	80	807
91	81	803
92	81	799
93	82	795
94	83	791
95	83	787
96	84	784
97	84	781
98	85	779
99	86	777
100	87	775
101	87	773
102	88	771
103	89	768
104	90	767
105	90	767
106	91	766
107	92	765
108	93	762
109	93	759
110	94	756
111	95	754
112	95	751
113	96	748
114	96	745
115	97	742
116	97	739
117	98	736
118	99	733
119	99	731
120	100	731
121	101	729
122	102	727
123	103	727
124	103	725
125	104	723
126	104	719
127	105	717
128	105	715
129	106	713
130	107	710
131	107	708
132	108	706
133	108	704
134	109	702
135	110	701
136	110	699
137	111	697
138	112	696
139	112	694
140	113	692
141	114	690
142	115	689
143	116	690
144	118	696
145	119	697
146	120	698
147	121	700
148	122	700
149	123	700
150	124	702
151	126	703
152	126	701
153	127	698
154	127	696
155	128	695
156	129	694
157	130	693
158	130	692
159	131	692
160	132	689
161	135	703
162	136	701
163	137	699
164	137	696
165	138	695
166	139	694
167	139	692
168	140	690
169	141	689
170	141	687
171	142	685
172	143	683
173	143	682
174	144	682
175	145	681
176	146	679
177	146	678
178	147	676
179	148	674
180	148	672
181	149	671
182	150	670
183	150	668
184	151	668
185	152	667
186	153	668
187	154	667
188	155	665
189	155	663
190	156	661
191	156	659
192	157	657
193	158	656
194	158	655
195	159	654
196	160	653
197	161	653
198	161	651
199	162	651
200	163	650
201	164	650
202	165	650
203	166	648
204	166	647
205	168	648
206	170	652
207	171	651
208	172	651
209	173	651
210	174	650
211	174	649
212	175	649
213	176	648
214	179	654
215	180	655
216	181	653
217	181	652
218	182	651
219	183	650
220	183	648
221	184	646
222	185	644
223	185	643
224	186	641
225	186	639
226	187	639
227	188	638
228	189	637
229	190	637
230	191	636
231	191	634
232	192	632
233	192	631
234	193	629
235	193	628
236	194	626
237	195	624
238	195	623
239	196	621
240	196	619
241	197	619
242	198	617
243	198	615
244	199	614
245	199	612
246	201	613
247	202	612
248	202	611
249	203	610
250	204	609
251	205	609
252	206	609
253	207	609
254	208	608
255	209	607
256	209	606
257	211	607
258	212	606
259	213	607
260	213	605
261	214	604
262	215	603
263	216	602
264	217	603
265	218	602
266	219	601
267	220	602
268	221	602
269	222	602
270	223	601
271	225	602
272	225	600
273	225	598
274	226	596
275	226	595
276	227	593
277	227	591
278	228	589
279	228	587
280	229	586
281	229	584
282	229	582
283	230	580
284	230	579
285	231	577
286	232	577
287	232	575
288	233	573
289	233	572
290	234	570
291	234	569
292	235	569
293	238	572
294	239	572
295	241	573
296	241	572
297	242	570
298	242	569
299	243	568
300	244	566
301	244	565
302	245	564
303	245	563
304	247	563
305	248	562
306	252	570
307	253	568
308	253	567
309	254	566
310	255	565
311	255	563
312	256	562
313	256	561
314	257	559
315	257	558
316	258	557
317	259	555
318	259	554
319	260	554
320	261	553
321	262	552
322	263	552
323	264	550
324	264	550
325	265	549
326	266	548
327	267	548
328	268	547
329	268	545
330	269	544
331	270	543
332	270	542
333	271	541
334	271	539
335	272	538
336	273	537
337	273	536
338	275	536
339	275	535
340	276	534
341	277	533
342	278	532
343	278	531
344	279	530
345	279	529
346	280	527
347	281	526
348	282	526
349	283	525
350	283	524
351	284	523
352	284	522
353	285	521
354	286	520
355	287	519
356	287	518
357	289	518
358	290	517
359	291	518
360	293	519
361	294	518
362	295	518
363	295	517
364	296	516
365	297	515
366	298	514
367	298	513
368	299	512
369	300	512
370	302	512
371	303	511
372	304	511
373	307	513
374	309	516
375	310	515
376	311	514
377	311	513
378	312	511
379	313	510
380	313	509
381	314	508
382	315	507
383	315	506
384	316	505
385	317	504
386	318	504
387	319	503
388	320	502
389	320	501
390	321	500
391	321	499
392	322	498
393	323	497
394	327	501
395	328	501
396	329	500
397	329	498
398	330	497
399	330	496
400	331	495
401	332	494
402	334	496
403	336	495
404	336	494
405	337	493
406	338	492
407	339	492
408	340	492
409	341	490
410	341	489
411	342	488
412	343	487
413	343	486
414	344	485
415	344	484
416	345	483
417	346	482
418	346	480
419	347	480
420	348	479
421	349	478
422	351	479
423	352	478
424	353	477
425	353	476
426	355	476
427	356	476
428	356	475
429	357	473
430	358	472
431	358	471
432	359	470
433	360	469
434	360	468
435	361	467
436	362	467
437	363	466
438	364	465
439	365	464
440	365	463
441	366	462
442	367	461
443	368	460
444	368	459
445	369	458
446	369	457
447	370	456
448	371	455
449	371	454
450	372	453
451	372	452
452	373	450
453	374	449
454	374	448
455	375	447
456	375	446
457	376	445
458	376	444
459	377	443
460	378	442
461	378	441
462	379	440
463	381	440
464	382	440
465	383	439
466	384	438
467	385	437
468	385	436
469	386	436
470	387	435
471	388	434
472	389	433
473	390	432
474	390	431
475	391	431
476	392	430
477	394	430
478	395	429
479	396	429
480	396	428
481	397	427
482	398	426
483	399	425
484	399	424
485	400	423
486	400	422
487	401	421
488	402	420
489	402	419
490	403	418
491	403	417
492	404	415
493	405	414
494	405	414
495	406	413
496	407	412
497	408	411
498	408	410
499	409	409
500	410	408
501	410	407
502	411	406
503	412	405
504	412	404
505	413	403
506	413	402
507	414	401
508	415	400
509	416	399
510	417	399
511	418	398
512	419	397
513	419	397
514	421	396
515	422	396
516	423	395
517	424	394
518	425	394
519	426	393
520	427	392
521	427	391
522	428	390
523	428	389
524	429	388
525	430	387
526	430	386
527	431	385
528	431	384
529	432	383
530	433	382
531	433	381
532	434	380
533	434	379
534	436	378
535	437	378
536	438	377
537	438	376
538	439	375
539	440	374
540	441	374
541	441	373
542	442	372
543	443	371
544	443	370
545	444	369
546	444	368
547	445	367
548	446	366
549	446	365
550	447	364
551	447	363
552	448	362
553	449	361
554	450	360
555	450	360
556	451	359
557	452	358
558	453	357
559	453	356
560	454	355
561	454	354
562	455	353
563	456	352
564	456	351
565	457	350
566	458	349
567	458	348
568	459	347
569	459	346
570	460	346
571	461	345
572	462	344
573	462	343
574	463	342
575	464	341
576	465	341
577	465	340
578	466	339
579	468	339
580	469	338
581	470	337
582	471	336
583	472	336
584	473	336
585	474	335
586	475	334
587	475	333
588	476	332
589	477	331
590	478	330
591	478	330
592	479	329
593	480	328
594	481	327
595	481	326
596	482	325
597	483	324
598	483	323
599	484	323
600	485	322
601	486	321
602	486	320
603	487	319
604	488	318
605	488	317
606	489	316
607	489	315
608	490	314
609	490	313
610	491	312
611	492	311
612	492	311
613	493	310
614	493	309
615	494	308
616	494	307
617	495	306
618	495	305
619	496	304
620	496	303
621	497	302
622	497	301
623	498	300
624	498	299
625	499	298
626	500	297
627	501	296
628	502	296
629	502	295
630	503	294
631	503	293
632	504	292
633	504	291
634	505	290
635	505	289
636	506	288
637	507	287
638	508	287
639	508	286
640	509	285
641	510	284
642	511	283
643	512	283
644	512	282
645	513	281
646	514	280
647	514	279
648	515	278
649	515	277
650	516	276
651	517	276
652	517	275
653	518	274
654	518	273
655	519	272
656	519	271
657	520	270
658	522	270
659	523	269
660	523	268
661	524	267
662	525	267
663	526	266
664	528	266
665	529	265
666	530	264
667	530	263
668	531	262
669	531	262
670	532	261
671	533	260
672	533	259
673	534	258
674	534	257
675	536	257
676	538	256
677	540	256
678	542	256
679	543	255
680	543	254
681	546	254
682	547	254
683	549	253
684	550	253
685	551	252
686	553	252
687	554	251
688	556	251
689	557	250
690	559	250
691	561	249
692	562	249
693	563	248
694	564	247
695	566	247
696	567	246
697	568	246
698	570	245
699	571	244
700	572	244
701	573	243
702	575	243
703	576	242
704	579	242
705	580	241
706	581	241
707	582	240
708	584	240
709	585	239
710	587	239
711	588	238
712	591	238
713	592	237
714	594	236
715	595	236
716	596	235
717	597	234
718	598	233
719	600	233
720	600	232
721	603	232
722	606	232
723	608	231
724	609	231
725	610	230
726	611	229
727	612	228
728	613	228
729	615	227
730	615	226
731	618	226
732	619	225
733	621	225
734	623	224
735	624	223
736	625	223
737	626	222
738	628	221
739	631	221
740	633	221
741	633	220
742	636	220
743	636	219
744	637	218
745	641	218
746	644	218
747	644	217
748	648	217
749	650	216
750	652	216
751	653	215
752	654	214
753	655	213
754	656	213
755	657	212
756	658	211
757	659	210
758	660	209
759	662	209
760	663	208
761	667	208
762	668	207
763	669	206
764	672	206
765	673	205
766	674	204
767	675	204
768	676	203
769	678	202
770	679	201
771	681	201
772	683	200
773	685	200
774	686	199
775	687	198
776	688	197
777	689	196
778	690	195
779	692	195
780	695	194
781	696	194
782	699	193
783	699	192
784	700	191
785	701	190
786	701	189
787	702	188
788	702	187
789	703	186
790	703	185
791	704	184
792	704	183
793	705	183
794	705	182
795	706	181
796	707	180
797	707	179
798	708	178
799	709	177
800	710	176
801	710	175
802	711	174
803	712	173
804	712	172
805	713	171
806	714	170
807	715	169
808	715	169
809	716	168
810	716	167
811	717	166
812	718	165
813	718	164
814	719	163
815	719	162
816	720	161
817	721	160
818	721	159
819	722	158
820	724	157
821	725	157
822	725	156
823	726	155
824	727	154
825	727	153
826	728	152
827	729	151
828	732	151
829	733	150
830	734	149
831	736	148
832	738	147
833	740	147
834	741	146
835	741	145
836	742	144
837	743	143
838	743	142
839	744	141
840	745	140
841	745	139
842	746	139
843	747	138
844	748	137
845	750	136
846	750	135
847	751	134
848	752	133
849	753	132
850	754	132
851	754	131
852	755	130
853	756	129
854	757	128
855	758	127
856	759	126
857	759	125
858	759	124
859	760	123
860	760	122
861	761	121
862	761	120
863	762	120
864	762	119
865	763	118
866	763	117
867	764	116
868	764	115
869	765	114
870	766	113
871	766	112
872	767	111
873	768	110
874	769	109
875	769	108
876	770	108
877	771	107
878	772	106
879	772	105
880	774	104
881	775	103
882	775	102
883	776	101
884	777	101
885	777	100
886	778	99
887	779	98
888	780	97
889	780	96
890	781	95
891	782	94
892	782	93
893	783	92
894	784	92
895	785	91
896	785	90
897	786	89
898	787	88
899	787	87
900	789	86
901	790	85
902	791	84
903	791	84
904	792	83
905	792	82
906	793	81
907	794	80
908	794	79
909	795	78
910	796	77
911	797	76
912	797	76
913	798	75
914	799	74
915	799	73
916	801	72
917	801	71
918	802	70
919	803	69
920	804	68
921	804	68
922	805	67
923	806	66
924	806	65
925	807	64
926	807	63
927	808	62
928	808	61
929	809	60
930	810	60
931	811	59
932	811	58
933	812	57
934	813	56
935	814	55
936	814	54
937	815	53
938	816	53
939	816	52
940	817	51
941	818	50
942	819	49
943	819	48
944	820	47
945	821	46
946	822	46
947	822	45
948	823	44
949	824	43
950	826	42
951	826	41
952	828	40
953	828	39
954	829	39
955	829	38
956	830	37
957	831	36
958	832	35
959	832	34
960	833	33
961	834	32
962	834	32
963	835	31
964	835	30
965	836	29
966	836	28
967	838	27
968	839	26
969	839	25
970	840	25
971	841	24
972	842	23
973	844	22
974	845	21
975	847	20
976	847	19
977	848	19
978	849	18
979	850	17
980	850	16
981	851	15
982	852	14
983	854	13
984	855	13
985	856	12
986	857	11
987	857	10
988	858	9
989	859	8
990	860	7
991	861	6
992	862	6
993	863	5
994	863	4
995	864	3
996	865	2
997	865	1
998	866	0
999	866	0
