iter	RMSE
0	14.77036817
1	14.4501849
2	14.10985584
3	13.76428559
4	13.44162239
5	13.15922515
6	12.8659818
7	12.59356091
8	12.33650592
9	12.04281515
10	11.7609325
11	11.514275
12	11.27039992
13	11.06731531
14	10.82503743
15	10.58168873
16	10.34429405
17	10.14301632
18	9.928723514
19	9.726395149
20	9.559082009
21	9.405595412
22	9.240554375
23	9.064609433
24	8.902149461
25	8.756837845
26	8.620303121
27	8.473691334
28	8.34586974
29	8.219205807
30	8.113732723
31	7.987124466
32	7.868623132
33	7.763989465
34	7.645533808
35	7.53841535
36	7.434572898
37	7.350863741
38	7.256746819
39	7.175745158
40	7.09194988
41	7.025272437
42	6.951194118
43	6.893357353
44	6.818753206
45	6.743382437
46	6.673881628
47	6.610192269
48	6.545600279
49	6.48261617
50	6.422483134
51	6.368848111
52	6.318648805
53	6.268298889
54	6.221398544
55	6.177723217
56	6.134893218
57	6.096903023
58	6.053776445
59	6.02200235
60	5.980701746
61	5.945194033
62	5.911629092
63	5.875268947
64	5.840652791
65	5.808136322
66	5.772830617
67	5.741748617
68	5.712638721
69	5.682715731
70	5.656204689
71	5.632701558
72	5.611069956
73	5.587075579
74	5.565777546
75	5.545295805
76	5.527347672
77	5.504434405
78	5.485886374
79	5.465657866
80	5.454350011
81	5.434976056
82	5.416560391
83	5.399806542
84	5.391141103
85	5.372656049
86	5.360673618
87	5.34689984
88	5.330681299
89	5.319001425
90	5.305117719
91	5.293961673
92	5.280776902
93	5.267803031
94	5.258647941
95	5.242688086
96	5.232265753
97	5.222364806
98	5.214762508
99	5.201023808
100	5.193766766
101	5.185664349
102	5.173960708
103	5.163158601
104	5.153366167
105	5.143695833
106	5.134406649
107	5.122070211
108	5.113965851
109	5.102933303
110	5.095557974
111	5.087903785
112	5.080679434
113	5.071671308
114	5.067294354
115	5.059776517
116	5.058387903
117	5.050311303
118	5.04427847
119	5.036517631
120	5.029541183
121	5.023239724
122	5.013907365
123	5.010128205
124	5.004922528
125	4.997191311
126	4.985277367
127	4.980620188
128	4.97337613
129	4.96827961
130	4.9631672
131	4.957642629
132	4.952524746
133	4.945663116
134	4.941890999
135	4.936514607
136	4.929645962
137	4.924241242
138	4.920048197
139	4.915407049
140	4.914556801
141	4.910571686
142	4.904209156
143	4.898176441
144	4.891016708
145	4.885746507
146	4.880578114
147	4.879810645
148	4.87562764
149	4.871828657
150	4.867712877
151	4.862108435
152	4.855931133
153	4.852239944
154	4.844985157
155	4.840327039
156	4.833993803
157	4.830787514
158	4.824803753
159	4.821243512
160	4.816849784
161	4.813896748
162	4.808453184
163	4.807865026
164	4.805185322
165	4.798928593
166	4.793260126
167	4.787280438
168	4.783509014
169	4.779735049
170	4.773781243
171	4.768989793
172	4.764220241
173	4.761852166
174	4.757450009
175	4.750885835
176	4.745041126
177	4.738922287
178	4.732744612
179	4.725850489
180	4.721740636
181	4.719659631
182	4.715091732
183	4.709405234
184	4.705401522
185	4.702739216
186	4.699804504
187	4.696913406
188	4.693782298
189	4.691179893
190	4.688325061
191	4.684473457
192	4.678908691
193	4.67273482
194	4.667581734
195	4.665584658
196	4.661064867
197	4.660136621
198	4.657815665
199	4.655673762
200	4.653280152
201	4.649653807
202	4.648406962
203	4.646392822
204	4.644865929
205	4.640087711
206	4.635817279
207	4.632506206
208	4.629552607
209	4.625713292
210	4.621356732
211	4.616818359
212	4.61539279
213	4.611331754
214	4.60782416
215	4.606694263
216	4.601682451
217	4.599220142
218	4.594539857
219	4.590553317
220	4.588834452
221	4.583527731
222	4.579572032
223	4.578780287
224	4.574504291
225	4.572301737
