iter	Passed	Remaining
0	4	4217
1	4	2418
2	7	2401
3	8	2029
4	9	1791
5	12	2140
6	14	2063
7	16	1999
8	17	1939
9	19	1907
10	20	1833
11	21	1741
12	23	1779
13	24	1695
14	25	1690
15	26	1620
16	27	1580
17	27	1522
18	28	1489
19	29	1443
20	30	1400
21	30	1362
22	31	1325
23	31	1293
24	32	1266
25	33	1239
26	33	1215
27	34	1192
28	34	1169
29	35	1148
30	36	1139
31	37	1120
32	37	1102
33	38	1087
34	38	1073
35	39	1057
36	40	1048
37	41	1039
38	41	1027
39	42	1013
40	42	1001
41	43	989
42	43	978
43	44	968
44	45	966
45	46	956
46	46	947
47	47	938
48	47	929
49	48	920
50	49	912
51	49	904
52	50	896
53	50	889
54	51	882
55	51	875
56	52	868
57	53	863
58	53	857
59	54	856
60	55	852
61	56	847
62	56	841
63	57	835
64	57	830
65	58	825
66	58	821
67	59	816
68	60	811
69	60	806
70	61	802
71	61	798
72	62	793
73	63	789
74	64	789
75	64	785
76	65	781
77	65	777
78	66	774
79	66	770
80	67	763
81	68	767
82	69	764
83	69	761
84	70	754
85	70	751
86	71	748
87	71	745
88	72	743
89	73	742
90	74	739
91	74	736
92	75	733
93	75	731
94	76	729
95	77	726
96	78	729
97	78	726
98	79	722
99	80	721
100	80	719
101	81	717
102	82	718
103	83	716
104	83	715
105	84	713
106	85	711
107	85	709
108	86	706
109	87	710
110	88	708
111	89	706
112	89	704
113	90	702
114	91	702
115	91	700
116	92	695
117	92	692
118	93	690
119	94	689
120	94	688
121	95	686
122	95	684
123	96	682
124	97	681
125	98	680
126	98	678
127	99	676
128	100	676
129	100	675
130	101	673
131	102	676
132	103	676
133	104	676
134	105	675
135	106	674
136	106	673
137	107	671
138	108	670
139	108	668
140	109	666
141	110	664
142	110	663
143	111	662
144	112	661
145	112	659
146	113	659
147	113	655
148	114	654
149	115	656
150	117	661
151	120	669
152	121	673
153	123	677
154	124	679
155	126	682
156	127	684
157	129	690
158	130	687
159	131	692
160	133	695
161	134	698
162	136	698
163	137	698
164	138	701
165	140	705
166	142	708
167	143	710
168	144	710
169	145	710
170	146	712
171	147	711
172	149	714
173	150	714
174	151	712
175	153	716
176	154	717
177	156	722
178	158	727
179	160	730
180	162	733
181	163	736
182	165	739
183	167	744
184	168	742
185	171	750
186	173	753
187	177	765
188	178	766
189	181	773
190	183	778
191	185	778
192	186	779
193	187	778
194	188	779
195	190	779
196	191	779
197	192	780
198	194	781
199	195	782
200	197	785
201	198	784
202	200	785
203	201	786
204	202	786
205	204	787
206	205	788
207	207	788
208	208	787
209	209	787
210	210	787
211	211	786
212	212	785
213	213	784
214	214	784
215	216	785
216	217	784
217	218	784
218	219	783
219	220	783
220	222	782
221	223	781
222	224	781
223	225	782
224	226	781
225	228	783
226	229	782
227	231	783
228	232	783
229	233	783
230	235	784
231	236	784
232	238	783
233	239	783
234	240	783
235	241	782
236	242	782
237	244	781
238	246	785
239	248	786
240	249	786
241	251	787
242	252	786
243	254	787
244	255	787
245	256	786
246	258	787
247	259	786
248	259	783
249	261	785
250	263	786
251	264	784
252	265	783
253	265	781
254	266	779
255	267	776
256	267	774
257	268	772
258	269	770
259	269	768
260	270	765
261	271	764
262	272	764
263	273	762
264	274	760
265	274	758
266	275	756
267	276	754
268	276	752
269	277	750
270	278	748
271	278	745
272	279	743
273	280	742
274	280	740
275	281	738
276	282	736
277	283	735
278	283	733
279	284	730
280	284	728
281	285	726
282	286	726
283	287	724
284	287	722
285	288	720
286	289	718
287	289	716
288	290	714
289	290	712
290	292	711
291	292	709
292	293	707
293	293	705
294	294	704
295	295	702
296	296	700
297	296	698
298	297	697
299	298	696
300	299	695
301	300	693
302	300	692
303	301	690
304	302	688
305	302	686
306	303	684
307	303	682
308	304	680
309	305	679
310	306	677
311	306	676
312	307	674
313	307	672
314	308	671
315	309	669
316	309	667
317	310	666
318	311	664
319	312	664
320	313	662
321	313	660
322	314	659
323	315	657
324	315	655
325	316	654
326	317	653
327	317	651
328	318	649
329	319	648
330	320	647
331	320	645
332	321	643
333	322	642
334	322	640
335	324	640
336	325	639
337	325	638
338	326	636
339	327	634
340	328	635
341	329	634
342	330	633
343	331	632
344	332	630
345	333	629
346	333	627
347	334	626
348	335	625
349	335	623
350	337	624
351	338	622
352	339	621
353	339	620
354	340	618
355	341	617
356	342	616
357	342	614
358	343	613
359	343	611
360	344	610
361	345	608
362	345	606
363	346	606
364	347	604
365	348	603
366	348	601
367	349	599
368	350	598
369	350	597
370	351	596
371	352	595
372	354	595
373	356	596
374	358	596
375	359	596
376	360	595
377	360	593
378	361	592
379	362	591
380	365	594
